observation_id,source_id,native_record_id,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,description,record_url,source_value,source_value_type,portfolio_record_sha256
OBS-MACRO-01-dc372f448c98,SRC-MACRO-01,MX:NY.GDP.MKTP.CD:2021,Mexico,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,Mexico,historical_observation,not_applicable,Official indicator observation for Mexico; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/MX/indicator/NY.GDP.MKTP.CD?date=2021&format=json,1316569466685.95,NY.GDP.MKTP.CD,3c2ea9207e92c28012c25b3ea91c4aa6164cf54b7766bc169e1af5bf742804a1
OBS-MACRO-01-3837e985a051,SRC-MACRO-01,US:NY.GDP.MKTP.CD:2021,United States,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,United States,historical_observation,not_applicable,Official indicator observation for United States; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/US/indicator/NY.GDP.MKTP.CD?date=2021&format=json,23315080560000,NY.GDP.MKTP.CD,a1ae85346ea7fb142fd4cc0335d23e84cb3061e22e638ed032d4eeeae96e8d13
OBS-MACRO-01-f1bf1ff9c575,SRC-MACRO-01,ZA:NY.GDP.MKTP.CD:2021,South Africa,country,economic.indicator.observed,GDP (current US$) - 2021,2021-12-31,2026-08-29,South Africa,historical_observation,not_applicable,Official indicator observation for South Africa; indicator code NY.GDP.MKTP.CD.,https://api.worldbank.org/v2/country/ZA/indicator/NY.GDP.MKTP.CD?date=2021&format=json,419986284375.368,NY.GDP.MKTP.CD,f07617b9df9184efeaee048b555c40da66e5e6594d97720d9a32816c755ca277
OBS-SPEND-01-12d49508062d,SRC-SPEND-01,HSSCCG11J00163,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",organization,public_award.completed,Award HSSCCG11J00163 completed,2015-09-25,2026-08-29,United States,completed,100m_to_1b,Department of Homeland Security: SUSTAINMENT PROGRAM APPLICATION SUPPORT - EAGLE TO,https://www.usaspending.gov/award/CONT_AWD_HSSCCG11J00163_7003_HSHQDC06D00021_7001,329952976.21,award_amount_usd,078a06e3de2590c3728e7ed4c3abc30c9d069ee5537ad1f38fb09a12a2fdbe13
OBS-SPEND-01-24db50568994,SRC-SPEND-01,IND15PD01062,BOOZ ALLEN HAMILTON INC,organization,public_award.completed,Award IND15PD01062 completed,2021-05-26,2026-08-29,United States,completed,100m_to_1b,Department of the Interior: IGF::CT::IGF,https://www.usaspending.gov/award/CONT_AWD_IND15PD01062_1406_HHSN316201200008W_7529,244961186.29,award_amount_usd,137a7275d8a7339c8691b14847753c933a7ab3b6a07c7d47e9873ffb420e71fb
OBS-SPEND-01-751828a830a0,SRC-SPEND-01,216TX332N1199,"AGRICULTURE, TEXAS DEPARTMENT OF",organization,public_award.completed,Award 216TX332N1199 completed,2021-09-30,2026-08-29,United States,completed,1b_plus,Department of Agriculture: SCHOOL FOOD PROGRAMS,https://www.usaspending.gov/award/ASST_NON_216TX332N1199_012,2321660718.06,award_amount_usd,bc1c1bfa9706d8915d983539339075ef84b182555941f80f3bfd74b935189a9b
OBS-SPEND-01-a33fe8a9ab0b,SRC-SPEND-01,S010A200005,DEPARTMENT OF EDUCATION CALIFORNIA,organization,public_award.completed,Award S010A200005 completed,2021-09-30,2026-08-29,United States,completed,1b_plus,Department of Education: TITLE I PART A BASIC GRANTS TO LEAS,https://www.usaspending.gov/award/ASST_NON_S010A200005_091,1995323349.22,award_amount_usd,1bcc30a01b7d5248059abfcf782ca2fc2fb7caacb36a66ff651c4a5ddd4713c6
OBS-CYBER-01-4773f68c5a94,SRC-CYBER-01,CVE-2005-1794,CVE-2005-1794,vulnerability,cyber.vulnerability.published,CVE-2005-1794 published,2005-06-01,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness NVD-CWE-Other.,https://nvd.nist.gov/vuln/detail/CVE-2005-1794,6.4,cvss_base_score,8ea2033f552426a72ed924996beafafc8c3e87f3e0da117dc9626bbf3568916f
OBS-CYBER-01-6290848643e7,SRC-CYBER-01,CVE-2008-4250,CVE-2008-4250,vulnerability,cyber.vulnerability.published,CVE-2008-4250 published,2008-10-23,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity CRITICAL; weakness CWE-119, CWE-94.",https://nvd.nist.gov/vuln/detail/CVE-2008-4250,9.8,cvss_base_score,89a2ec203b5b22c9b74ae9580a5d24d12c9cae02418ffd0cfd3011c49a1073c3
OBS-CYBER-01-cef359c97e70,SRC-CYBER-01,CVE-2009-1537,CVE-2009-1537,vulnerability,cyber.vulnerability.published,CVE-2009-1537 published,2009-05-29,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity HIGH; weakness CWE-158, NVD-CWE-noinfo.",https://nvd.nist.gov/vuln/detail/CVE-2009-1537,8.8,cvss_base_score,e74e4a193da84c5ba5426044a338c5cb043a3846f63de4738b8f3ff5ba3b05d2
OBS-CYBER-01-4b377e9359e8,SRC-CYBER-01,CVE-2009-3459,CVE-2009-3459,vulnerability,cyber.vulnerability.published,CVE-2009-3459 published,2009-10-13,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity HIGH; weakness CWE-119, CWE-122.",https://nvd.nist.gov/vuln/detail/CVE-2009-3459,8.8,cvss_base_score,56cb10a305807b86e57356c437ab1a0b33e405c2ada0103af688fb61d119e3c1
OBS-CYBER-01-28903a70b9fc,SRC-CYBER-01,CVE-2010-0249,CVE-2010-0249,vulnerability,cyber.vulnerability.published,CVE-2010-0249 published,2010-01-15,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-416.,https://nvd.nist.gov/vuln/detail/CVE-2010-0249,8.8,cvss_base_score,c5fcb3051d26c16080eb4a42e5a85e1bdf2c16c335c07fa3c7850b04ff8939c0
OBS-CYBER-01-9a7047220272,SRC-CYBER-01,CVE-2010-0806,CVE-2010-0806,vulnerability,cyber.vulnerability.published,CVE-2010-0806 published,2010-03-10,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity HIGH; weakness CWE-399, CWE-416.",https://nvd.nist.gov/vuln/detail/CVE-2010-0806,8.8,cvss_base_score,e6cfa4c6f1c1234e2c9594f195577aad2229cb44bb8ffef534dccaf7a90d4cdd
OBS-CYBER-01-dbf47d1a83e5,SRC-CYBER-01,CVE-2012-0814,CVE-2012-0814,vulnerability,cyber.vulnerability.published,CVE-2012-0814 published,2012-01-27,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity LOW; weakness CWE-255.,https://nvd.nist.gov/vuln/detail/CVE-2012-0814,3.5,cvss_base_score,c8611fb17afbaa068e3832784f5089e62abd99b9be092ed7f3c6a99059747718
OBS-CYBER-01-83d2c7934cc6,SRC-CYBER-01,CVE-2012-6435,CVE-2012-6435,vulnerability,cyber.vulnerability.published,CVE-2012-6435 published,2013-01-24,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity HIGH; weakness CWE-284, CWE-399.",https://nvd.nist.gov/vuln/detail/CVE-2012-6435,7.5,cvss_base_score,113faba9617d0c72c9ef2dfd88c7f1a6f26c175a3009f4a1847de0e880344f8f
OBS-CYBER-01-b4b40765916c,SRC-CYBER-01,CVE-2012-6436,CVE-2012-6436,vulnerability,cyber.vulnerability.published,CVE-2012-6436 published,2013-01-24,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-119.,https://nvd.nist.gov/vuln/detail/CVE-2012-6436,7.5,cvss_base_score,e07bbf821082fb3a9e06e9b2ab2689069a098eb594388a1d6ab040b6c9fc0428
OBS-CYBER-01-7bc906e28e84,SRC-CYBER-01,CVE-2012-6437,CVE-2012-6437,vulnerability,cyber.vulnerability.published,CVE-2012-6437 published,2013-01-24,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity CRITICAL; weakness CWE-287.,https://nvd.nist.gov/vuln/detail/CVE-2012-6437,9.8,cvss_base_score,134f1c9b2993a2fab9f90b6e834c20d282adddff1aba87ac0669d054a6ab6ebf
OBS-CYBER-01-94a032f9888a,SRC-CYBER-01,CVE-2012-6438,CVE-2012-6438,vulnerability,cyber.vulnerability.published,CVE-2012-6438 published,2013-01-24,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-119.,https://nvd.nist.gov/vuln/detail/CVE-2012-6438,7.5,cvss_base_score,0f4e52bbdd5fb972184d95cdf1c7dc0b9b7f8e80cd9c14fe162ccd6ad2cf2809
OBS-CYBER-01-8dc2f47c058c,SRC-CYBER-01,CVE-2012-6440,CVE-2012-6440,vulnerability,cyber.vulnerability.published,CVE-2012-6440 published,2013-01-24,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness CWE-287.,https://nvd.nist.gov/vuln/detail/CVE-2012-6440,4.8,cvss_base_score,646c5b8c729ed082a2677dcdc653e4da1f12b6a4b7cef9982477f4246ffd8854
OBS-CYBER-01-bd7f23ac1e2f,SRC-CYBER-01,CVE-2012-6442,CVE-2012-6442,vulnerability,cyber.vulnerability.published,CVE-2012-6442 published,2013-01-24,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity HIGH; weakness CWE-119, CWE-284.",https://nvd.nist.gov/vuln/detail/CVE-2012-6442,7.5,cvss_base_score,9c45e3ede2e6856542e55eb73769ca4171894434b61bd867720f36a94af91ded
OBS-CYBER-01-fedb6d967ec0,SRC-CYBER-01,CVE-2013-2566,CVE-2013-2566,vulnerability,cyber.vulnerability.published,CVE-2013-2566 published,2013-03-15,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness CWE-326.,https://nvd.nist.gov/vuln/detail/CVE-2013-2566,5.9,cvss_base_score,eb03f82e21bbb81b09f5bb5220c38184aeb8a99620bf47456a02e1c6cacbcf48
OBS-CYBER-01-f1e41d52e692,SRC-CYBER-01,CVE-2013-1609,CVE-2013-1609,vulnerability,cyber.vulnerability.published,CVE-2013-1609 published,2013-03-26,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness NVD-CWE-Other.,https://nvd.nist.gov/vuln/detail/CVE-2013-1609,6.8,cvss_base_score,1cc8c3812875579f129fc3058dab4e3fdc49b2929385c3529f608dffee5988ff
OBS-CYBER-01-b093752b0789,SRC-CYBER-01,CVE-2015-3246,CVE-2015-3246,vulnerability,cyber.vulnerability.published,CVE-2015-3246 published,2015-08-11,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity MEDIUM; weakness CWE-264, CWE-367.",https://nvd.nist.gov/vuln/detail/CVE-2015-3246,5.1,cvss_base_score,54f7bb47a5acb6b53d7689373d4ba396ce180d5733ce75fb56df89ed15bd208b
OBS-CYBER-01-d3588b929016,SRC-CYBER-01,CVE-2015-6490,CVE-2015-6490,vulnerability,cyber.vulnerability.published,CVE-2015-6490 published,2015-10-28,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity CRITICAL; weakness CWE-119, CWE-121.",https://nvd.nist.gov/vuln/detail/CVE-2015-6490,9.8,cvss_base_score,2a5a571ea4307d86fa76848406099da0edd3d5f94cd172abb28dfefe6b37288d
OBS-CYBER-01-aba469e644a9,SRC-CYBER-01,CVE-2015-6492,CVE-2015-6492,vulnerability,cyber.vulnerability.published,CVE-2015-6492 published,2015-10-28,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-119.,https://nvd.nist.gov/vuln/detail/CVE-2015-6492,7.5,cvss_base_score,e53cb6a2c50f4282e4c13576080784e3989b81cf044cf4f7573aa00498df0285
OBS-CYBER-01-77757889b8da,SRC-CYBER-01,CVE-2015-5287,CVE-2015-5287,vulnerability,cyber.vulnerability.published,CVE-2015-5287 published,2015-12-07,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-59.,https://nvd.nist.gov/vuln/detail/CVE-2015-5287,7.8,cvss_base_score,8b69914ba211fc135694586339da5702810226566a1180844caa2c602c399a8f
OBS-CYBER-01-e3150b1b1dbc,SRC-CYBER-01,CVE-2016-2279,CVE-2016-2279,vulnerability,cyber.vulnerability.published,CVE-2016-2279 published,2016-03-02,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness CWE-79.,https://nvd.nist.gov/vuln/detail/CVE-2016-2279,6.1,cvss_base_score,66a3c83943eea98400889c58f4c89254f66bbf1b90970370969eb93e41c8be78
OBS-CYBER-01-3f12946f668d,SRC-CYBER-01,CVE-2015-8553,CVE-2015-8553,vulnerability,cyber.vulnerability.published,CVE-2015-8553 published,2016-04-13,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness CWE-200.,https://nvd.nist.gov/vuln/detail/CVE-2015-8553,6.5,cvss_base_score,97ffe761317391363ccae6d4c91918611a595aee3ba5d660cdbef0ba2d497283
OBS-CYBER-01-aaa3f6ccd417,SRC-CYBER-01,CVE-2015-8325,CVE-2015-8325,vulnerability,cyber.vulnerability.published,CVE-2015-8325 published,2016-05-01,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-264.,https://nvd.nist.gov/vuln/detail/CVE-2015-8325,7.8,cvss_base_score,46f926927f52d90e8c4b36911cbdba40dd09e44ef2d6bee0470be645a5b40677
OBS-CYBER-01-e1c0201c8123,SRC-CYBER-01,CVE-2016-5645,CVE-2016-5645,vulnerability,cyber.vulnerability.published,CVE-2016-5645 published,2016-08-24,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity HIGH; weakness CWE-284, CWE-798.",https://nvd.nist.gov/vuln/detail/CVE-2016-5645,7.3,cvss_base_score,e99b0b6af7898bf375011c5a08b115af93be0422e5bbc705079b923e138151b6
OBS-CYBER-01-40e242125dcd,SRC-CYBER-01,CVE-2005-4900,CVE-2005-4900,vulnerability,cyber.vulnerability.published,CVE-2005-4900 published,2016-10-14,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity MEDIUM; weakness CWE-326.,https://nvd.nist.gov/vuln/detail/CVE-2005-4900,5.9,cvss_base_score,24d822386f38543dfb5cebe0fc1268ac163510c21d52bee421f92baca5b7a395
OBS-CYBER-01-28a9e4e1f270,SRC-CYBER-01,CVE-2017-7898,CVE-2017-7898,vulnerability,cyber.vulnerability.published,CVE-2017-7898 published,2017-06-30,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity CRITICAL; weakness CWE-307.,https://nvd.nist.gov/vuln/detail/CVE-2017-7898,9.8,cvss_base_score,5e496085810e05656faab8fb68986821b075152bef777b921710ef0ecadb5375
OBS-CYBER-01-cb6e7c59114b,SRC-CYBER-01,CVE-2017-7903,CVE-2017-7903,vulnerability,cyber.vulnerability.published,CVE-2017-7903 published,2017-06-30,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity CRITICAL; weakness CWE-326, CWE-521.",https://nvd.nist.gov/vuln/detail/CVE-2017-7903,9.8,cvss_base_score,7f7d21a7158db4f5bfab8497fdd8d7a04b3a8ad790206ba7990603665e38d301
OBS-CYBER-01-60593da686a9,SRC-CYBER-01,CVE-2015-1862,CVE-2015-1862,vulnerability,cyber.vulnerability.published,CVE-2015-1862 published,2018-02-09,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness CWE-362.,https://nvd.nist.gov/vuln/detail/CVE-2015-1862,7.0,cvss_base_score,1ec96da0e3b583b405c44b13c95fa4a00bd4b5951a9d20638ece882ddedb77ec
OBS-CYBER-01-be97056ce393,SRC-CYBER-01,CVE-2018-1273,CVE-2018-1273,vulnerability,cyber.vulnerability.published,CVE-2018-1273 published,2018-04-11,2026-08-29,Global,published,not_applicable,"Historical vulnerability metadata; severity CRITICAL; weakness CWE-94, NVD-CWE-Other.",https://nvd.nist.gov/vuln/detail/CVE-2018-1273,9.8,cvss_base_score,711db5e6a9cd8f863f6d34e0f99a5701e89ec3f49ca7376794f6c189f418f99d
OBS-CYBER-01-441ddadcc697,SRC-CYBER-01,CVE-2018-6439,CVE-2018-6439,vulnerability,cyber.vulnerability.published,CVE-2018-6439 published,2018-12-03,2026-08-29,Global,published,not_applicable,Historical vulnerability metadata; severity HIGH; weakness NVD-CWE-noinfo.,https://nvd.nist.gov/vuln/detail/CVE-2018-6439,7.8,cvss_base_score,422e2c79d0f8494f4b73dc6a4032137ff94e525fb3079ae3e3f169361ddad433
