event_id,entity_key,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,source_value,source_value_type,corroboration_count,quality_status,source_ids,source_names,evidence_observation_ids,evidence_hashes,record_urls
EVT-0f981c19a6a05554,cve-2020-6984,CVE-2020-6984,vulnerability,cyber.vulnerability.published,CVE-2020-6984 published,2020-03-16,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-532dec84a08d,14c02f26c735086efd03e3e3610188fb0d708511100c9aaeb0d107c3f46171df,https://nvd.nist.gov/vuln/detail/CVE-2020-6984
EVT-7bf13692db542ac6,cve-2020-6988,CVE-2020-6988,vulnerability,cyber.vulnerability.published,CVE-2020-6988 published,2020-03-16,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-2921ffad297a,a3e296306b0a6ca45de9b27c6f4e0a151732320b79bf27144860dd29de8200d9,https://nvd.nist.gov/vuln/detail/CVE-2020-6988
EVT-a56bd4414679e88b,cve-2020-6990,CVE-2020-6990,vulnerability,cyber.vulnerability.published,CVE-2020-6990 published,2020-03-16,2026-08-29,Global,published,not_applicable,9.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-1301696fc577,dd4a2d3c0678e6a9de2a763d4239d228a6f1c076ad151a502dc71662cdcd89db,https://nvd.nist.gov/vuln/detail/CVE-2020-6990
EVT-22508cce7bf3d480,cve-2021-21735,CVE-2021-21735,vulnerability,cyber.vulnerability.published,CVE-2021-21735 published,2021-06-10,2026-08-29,Global,published,not_applicable,6.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-c82f830b115d,1ff22ada2a28a317fcc0d94e634868b1ab7b1f8d1fb14aea830abd93ce8ec168,https://nvd.nist.gov/vuln/detail/CVE-2021-21735
EVT-1a68f2abb8f34630,cve-2021-22659,CVE-2021-22659,vulnerability,cyber.vulnerability.published,CVE-2021-22659 published,2021-03-25,2026-08-29,Global,published,not_applicable,8.6,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-99f5c3bedfba,21c4ba7e6287facec61c0201577395c28ae32b517c095edc1b6e9ba3acd07d6d,https://nvd.nist.gov/vuln/detail/CVE-2021-22659
EVT-0692363faf4cc115,cve-2021-23758,CVE-2021-23758,vulnerability,cyber.vulnerability.published,CVE-2021-23758 published,2021-12-03,2026-08-29,Global,published,not_applicable,8.1,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-149f6550c061,ab2bc5c2dccf9baef30ae9290ccf536968a0256810165a8d7ad1433af503632d,https://nvd.nist.gov/vuln/detail/CVE-2021-23758
EVT-bef96622723f598e,cve-2021-28691,CVE-2021-28691,vulnerability,cyber.vulnerability.published,CVE-2021-28691 published,2021-06-29,2026-08-29,Global,published,not_applicable,7.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-56cb7682f394,cf47ff81ac44272523b69e14cadd7c2f54623f701cf2e050153dfa7a70b0954f,https://nvd.nist.gov/vuln/detail/CVE-2021-28691
EVT-82d805d8c24d826a,cve-2021-33012,CVE-2021-33012,vulnerability,cyber.vulnerability.published,CVE-2021-33012 published,2021-07-09,2026-08-29,Global,published,not_applicable,8.6,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-43f4f6db85d5,d0270db09b943f275856bce920f6b21b9a6bfa3532559048edfde83895c076aa,https://nvd.nist.gov/vuln/detail/CVE-2021-33012
EVT-bb30e358e26c469f,department-of-education-california,DEPARTMENT OF EDUCATION CALIFORNIA,organization,public_award.completed,Award S010A200005 completed,2021-09-30,2026-08-29,United States,completed,1b_plus,1995323349.22,award_amount_usd,1,single_source,SRC-SPEND-01,USAspending completed awards,OBS-SPEND-01-a33fe8a9ab0b,1bcc30a01b7d5248059abfcf782ca2fc2fb7caacb36a66ff651c4a5ddd4713c6,https://www.usaspending.gov/award/ASST_NON_S010A200005_091
EVT-a5308f258c94c3eb,general-dynamics-information-technology-inc,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",organization,public_award.completed,Award HSSCCG11J00163 completed,2015-09-25,2026-08-29,United States,completed,100m_to_1b,329952976.21,award_amount_usd,1,single_source,SRC-SPEND-01,USAspending completed awards,OBS-SPEND-01-12d49508062d,078a06e3de2590c3728e7ed4c3abc30c9d069ee5537ad1f38fb09a12a2fdbe13,https://www.usaspending.gov/award/CONT_AWD_HSSCCG11J00163_7003_HSHQDC06D00021_7001
